cast,director,runtime,genres,production_companies,release_year,release_month,budget_adj,has_profits
Nicolas Cage|Amber Heard|William Fichtner|Billy Burke|David Morse,Patrick Lussier,105,Fantasy|Thriller|Action|Crime,Summit Entertainment|Saturn Films|Nu Image Films|Millennium Films|Michael De Luca Productions,2011,2,48469902.1296,False
Jason Statham|Ben Foster|Donald Sutherland|Mini Anden|Tony Goldwyn,Simon West,93,Action|Thriller|Crime,CBS Films|Millennium Films|Chartoff-Winkler Productions|Scared Productions|Nu Image Entertainment GmbH,2011,1,38775921.7037,True
Jake Gyllenhaal|Michelle Monaghan|Vera Farmiga|Russell Peters|Michael Arden,Duncan Jones,93,Thriller|Science Fiction|Mystery,The Mark Gordon Company|Vendome Pictures,2011,3,31020737.3629,True
Tom Cruise|Jeremy Renner|Simon Pegg|Paula Patton|Anil Kapoor,Brad Bird,133,Action|Thriller|Adventure,Paramount Pictures|Skydance Productions|Bad Robot|TC Productions|Revolution Sun Studios,2011,12,140562716.176,True
Steve Carell|Julianne Moore|Ryan Gosling|Emma Stone|Marisa Tomei,Glenn Ficarra|John Requa,118,Comedy|Drama|Romance,Warner Bros.,2011,7,48469902.1296,True
Daniel Craig|Rooney Mara|Christopher Plummer|Goran Visnjic|Stellan SkarsgÃ¥rd,David Fincher,158,Thriller|Crime|Mystery|Drama,Columbia Pictures|Scott Rudin Productions|Film Rites|Metro-Goldwyn-Mayer (MGM)|Yellow Bird,2011,12,87245823.8332,True
Bradley Cooper|Robert De Niro|Abbie Cornish|Andrew Howard|Anna Friel,Neil Burger,105,Thriller|Mystery|Science Fiction,Rogue Pictures|Relativity Media|Virgin Produced|Many Rivers Productions|Boy of the Year,2011,3,26173747.15,True
Jack Black|Angelina Jolie|Dustin Hoffman|Gary Oldman|Jackie Chan,Jennifer Yuh,91,Animation|Family,DreamWorks Animation,2011,5,145409706.389,True
Jennifer Aniston|Adam Sandler|Nicole Kidman|Bailee Madison|Griffin Gluck,Dennis Dugan,117,Romance|Comedy,Columbia Pictures|Happy Madison Productions,2011,2,77551843.4073,True
Jennifer Aniston|Jason Bateman|Charlie Day|Jason Sudeikis|Colin Farrell,Seth Gordon,98,Comedy|Crime,New Line Cinema|Rat Entertainment,2011,7,33928931.4907,True
Hugh Jackman|Dakota Goyo|Evangeline Lilly|Anthony Mackie|Kevin Durand,Shawn Levy,127,Action|Science Fiction|Drama,DreamWorks SKG|21 Laps Entertainment|Reliance Entertainment|Touchstone Pictures|ImageMovers,2011,9,106633784.685,True
Justin Timberlake|Mila Kunis|Patricia Clarkson|Woody Harrelson|Nolan Gould,Will Gluck,109,Comedy,Castle Rock Entertainment|Screen Gems|Olive Bridge Entertainment,2011,7,33928931.4907,True
Jason Segel|Cameron Diaz|Justin Timberlake|Lucy Punch|Phyllis Smith,Jake Kasdan,92,Comedy,Columbia Pictures|Mosaic Media Group,2011,5,19387960.8518,True
Robert Downey Jr.|Jude Law|Jared Harris|Noomi Rapace|Kelly Reilly,Guy Ritchie,129,Adventure|Action|Crime|Mystery,Village Roadshow Pictures|Silver Pictures|Lin Pictures|Warner Bros.|Wigram Productions,2011,11,121174755.324,True
Larry the Cable Guy|Owen Wilson|Michael Caine|Emily Mortimer|Eddie Izzard,John Lasseter|Brad Lewis,106,Animation|Family|Adventure|Comedy,Walt Disney Pictures|Pixar Animation Studios,2011,6,193879608.518,True
Ryan Reynolds|Blake Lively|Peter Sarsgaard|Tim Robbins|Mark Strong,Martin Campbell,114,Adventure|Action|Thriller|Science Fiction,De Line Pictures|Warner Bros.|DC Entertainment,2011,6,193879608.518,True
Bradley Cooper|Ed Helms|Zach Galifianakis|Justin Bartha|Ken Jeong,Todd Phillips,102,Comedy,Legendary Pictures|Living Films|Green Hat Films|Warner Bros.,2011,5,77551843.4073,True
Natalie Portman|Ashton Kutcher|Greta Gerwig|Kevin Kline|Olivia Thirlby,Ivan Reitman,108,Comedy|Romance,"Paramount Pictures|Spyglass Entertainment|Katalyst Films|Cold Spring Pictures|Montecito Picture Company, The",2011,1,24234951.0648,True
Jamie Bell|Andy Serkis|Daniel Craig|Nick Frost|Simon Pegg,Steven Spielberg,107,Adventure|Animation|Action|Family|Mystery,Paramount Pictures|Columbia Pictures|WingNut Films|Amblin Entertainment|Nickelodeon Movies,2011,10,126021745.537,True
Kristen Wiig|Rose Byrne|Maya Rudolph|Wendi McLendon-Covey|Ellie Kemper,Paul Feig,125,Romance|Comedy,Universal Pictures|Relativity Media|Apatow Productions,2011,4,31505436.3842,True
Owen Wilson|Jason Sudeikis|Jenna Fischer|Christina Applegate|Nicky Whelan,Bobby Farrelly|Peter Farrelly,105,Comedy,New Line Cinema|Conundrum Entertainment,2011,2,34898329.5333,True
Joel Courtney|Elle Fanning|Riley Griffiths|Kyle Chandler|Ryan Lee,J.J. Abrams,112,Thriller|Science Fiction|Mystery,Paramount Pictures|Amblin Entertainment|Bad Robot|K/O Camera Toys,2011,6,48469902.1296,True
Emily Browning|Abbie Cornish|Jena Malone|Vanessa Hudgens|Jamie Chung,Zack Snyder,110,Action|Fantasy|Thriller,Legendary Pictures|Warner Bros.|Lennox House Films|Cruel and Unusual Films,2011,3,79490639.4925,True
Amanda Seyfried|Gary Oldman|Billy Burke|Shiloh Fernandez|Max Irons,Catherine Hardwicke,100,Thriller,Appian Way|Warner Bros.|Random Films,2011,3,40714717.7888,True
Kristen Stewart|Robert Pattinson|Taylor Lautner|Ashley Greene|Peter Facinelli,Bill Condon,117,Adventure|Fantasy|Romance,Summit Entertainment|Sunswept Entertainment|Total Entertainment|TSBD Canada Productions|Zohar International,2011,3,106633784.685,True
Michael Fassbender|Carey Mulligan|James Badge Dale|Nicole Beharie|Alex Manette,Steve McQueen,100,Drama,HanWay Films|UK Film Council|Alliance Films|See-Saw Films|Film4,2011,10,6301087.27684,True
Jim Carrey|Carla Gugino|Madeline Carroll|Angela Lansbury|Ophelia Lovibond,Mark Waters,94,Comedy|Family,Twentieth Century Fox Film Corporation|Dune Entertainment|Davis Entertainment|Dune Entertainment III,2011,6,53316892.3425,True
Brad Pitt|Sean Penn|Jessica Chastain|Hunter McCracken|Finnegan Williams,Terrence Malick,139,Drama|Fantasy,Fox Searchlight,2011,5,31020737.3629,True
Alex Pettyfer|Timothy Olyphant|Teresa Palmer|Dianna Agron|Callan McAuliffe,D.J. Caruso,109,Action|Thriller|Science Fiction|Adventure,DreamWorks SKG|Reliance BIG Entertainment|Bay Films|Touchstone Pictures,2011,2,48469902.1296,True
Jesse Eisenberg|Anne Hathaway|Leslie Mann|Jane Lynch|Will.i.am,Carlos Saldanha,96,Animation|Adventure|Comedy|Family,Blue Sky Studios|Twentieth Century Fox Animation,2011,4,87245823.8332,True
Jean Dujardin|BÃ©rÃ©nice Bejo|John Goodman|James Cromwell|Penelope Ann Miller,Michel Hazanavicius,100,Drama|Comedy|Romance,France 3 CinÃ©ma|La Petite Reine|Studio 37|uFilm|Jouror Productions,2011,5,14540970.6389,True
Kevin James|Rosario Dawson|Sylvester Stallone|Nick Nolte|Jon Favreau,Frank Coraci,102,Comedy|Romance|Family,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Broken Road Productions|Metro-Goldwyn-Mayer (MGM),2011,7,77551843.4073,True
Daniel Craig|Olivia Wilde|Harrison Ford|Sam Rockwell|Walton Goggins,Jon Favreau,119,Action|Science Fiction|Thriller|Western,Imagine Entertainment|DreamWorks SKG|Universal Pictures|platinum studios|Reliance Entertainment,2011,7,158011880.942,True
Tom Hiddleston|Benedict Cumberbatch|Toby Kebbell|Emily Watson|Jeremy Irvine,Steven Spielberg,146,Drama|War,"DreamWorks SKG|Amblin Entertainment|Reliance Entertainment|Kennedy/Marshall Company, The",2011,12,63980270.811,True
Joseph Gordon-Levitt|Seth Rogen|Anna Kendrick|Bryce Dallas Howard|Anjelica Huston,Jonathan Levine,100,Comedy|Drama,Summit Entertainment|Mandate Pictures,2011,9,7755184.34073,True
Johnny Depp|Isla Fisher|Ned Beatty|Bill Nighy|Alfred Molina,Gore Verbinski,107,Animation|Comedy|Family|Western|Adventure,Paramount Pictures|Nickelodeon Movies|GK Films|Blind Wink|Paramount Animation,2011,3,130868735.75,True
Olivia Wilde|Ryan Reynolds|Jason Bateman|Leslie Mann|Mircea Monroe,David Dobkin,112,Comedy,Universal Pictures|Original Film|Relativity Media|Big Kid Pictures,2011,8,50408698.2148,True
Asa Butterfield|ChloÃ« Grace Moretz|Ben Kingsley|Sacha Baron Cohen|Jude Law,Martin Scorsese,126,Adventure|Drama|Family,Paramount Pictures|Infinitum Nihil|GK Films,2011,11,164797667.241,True
Matthew McConaughey|Marisa Tomei|Ryan Phillippe|William H. Macy|Josh Lucas,Brad Furman,119,Crime|Drama|Thriller,Lakeshore Entertainment|Sidney Kimmel Entertainment|Lionsgate,2011,3,38775921.7037,True
Nicolas Cage|CiarÃ¡n Hinds|Violante Placido|Fergus Riordan|Johnny Whitworth,Mark Neveldine|Brian Taylor,95,Action|Fantasy|Thriller,Columbia Pictures|Imagenation Abu Dhabi FZ|Marvel Entertainment|Marvel Knights|Hyde Park Entertainment,2011,12,55255688.4277,True
Anne Hathaway|Jim Sturgess|Patricia Clarkson|Romola Garai|Heida Reed,Lone Scherfig,107,Drama|Romance,Film 4|Color Force,2011,3,14540970.6389,True
Jason Statham|Clive Owen|Robert De Niro|Dominic Purcell|Yvonne Strahovski,Gary McKendry,116,Action|Adventure|Thriller,Current Entertainment|Omnilab Media|Ambience Entertainment|International Traders|Open Road Films,2011,9,63980270.811,False
Anthony Hopkins|Colin O'Donoghue|Alice Braga|Toby Jones|CiarÃ¡n Hinds,Mikael HÃ¥fstrÃ¶m,114,Drama|Thriller|Horror,New Line Cinema|Contrafilm|Mid Atlantic Films|Hungarian National Film Office|Lazio Film Commission,2011,1,35867727.5759,True
Jim Cummings|Travis Oates|Jim Cummings|Bud Luckey|Craig Ferguson,Stephen Anderson|Don Hall,63,Animation|Family,Walt Disney Pictures|Walt Disney Animation Studios,2011,4,29081941.2777,False
Milla Jovovich|Orlando Bloom|Logan Lerman|Ray Stevenson|Matthew Macfadyen,Paul W.S. Anderson,110,Adventure|Action|Thriller|Comedy,Impact Pictures|Studio Babelsberg|Nouvelles Ã‰ditions de Films (NEF)|New Legacy|Constantin Film Produktion,2011,8,72704853.1944,True
Felicity Jones|Ed Westwick|Brooke Shields|Bill Nighy|Tamsin Egerton,Phil Traill,96,Comedy|Romance,UK Film Council|Prescience|Aegis Film Fund|Kaleidoscope Films,2011,2,7755184.34073,False
Owen Wilson|Rachel McAdams|Kurt Fuller|Mimi Kennedy|Michael Sheen,Woody Allen,94,Fantasy|Comedy|Romance,Gravier Productions|TelevisiÃ³ de Catalunya (TV3)|VersÃ¡til Cinema|Mediapro|Pontchartrain Productions,2011,5,29081941.2777,True
Paul Bettany|Cam Gigandet|Karl Urban|Lily Collins|Maggie Q,Scott Stewart,87,Action|Fantasy|Horror|Science Fiction|Thriller,Screen Gems|Stars Road Entertainment|Buckaroo Entertainment|Michael De Luca Productions|TOKYOPOP,2011,5,58163882.5555,True
Charlize Theron|Patton Oswalt|Patrick Wilson|Elizabeth Reaser|Collette Wolfe,Jason Reitman,94,Comedy|Drama|Romance,Paramount Pictures|Denver and Delilah Productions|Indian Paintbrush,2011,12,11632776.5111,True
Tom Hardy|Jennifer Morrison|Nick Nolte|Joel Edgerton|Frank Grillo,Gavin O'Connor,140,Action|Drama,Solaris Film|Lionsgate|Mimran Schur Pictures|Filmtribe,2011,9,24234951.0648,False
Taylor Lautner|Lily Collins|Alfred Molina|Jason Isaacs|Maria Bello,John Singleton,106,Thriller|Action|Mystery,Lions Gate Films|Vertigo Entertainment|Gotham Group|Tailor Made|Mango Farms,2011,9,33928931.4907,True
Liam Neeson|Diane Kruger|January Jones|Aidan Quinn|Bruno Ganz,Jaume Collet-Serra,113,Action|Mystery|Thriller,Studio Babelsberg|StudioCanal|Dark Castle Entertainment|TF1 Films Production|Canal+,2011,2,29081941.2777,True
Matt Damon|Emily Blunt|John Slattery|Anthony Mackie|Lauren Hodges,George Nolfi,106,Thriller|Romance|Fantasy,Universal Pictures|Media Rights Capital|Gambit Pictures|Electric Shepherd Productions,2011,3,48663781.7381,True
Mickey Rourke|Kellan Lutz|Isabel Lucas|Henry Cavill|Luke Evans,Tarsem Singh,110,Fantasy|Action|Drama,Virgin Produced|Mark Canton Productions,2011,11,72704853.1944,True
Anton Yelchin|Felicity Jones|Jennifer Lawrence|Charlie Bewley|Alex Kingston,Drake Doremus,90,Drama|Romance,Paramount Vantage|Andrea Sperling Productions|Indian Paintbrush|Super Crispy Entertainment|Ascension Productions,2011,10,242349.510648,True
Tom Hanks|Julia Roberts|Bryan Cranston|Cedric the Entertainer|Pam Grier,Tom Hanks,98,Comedy|Romance|Drama,Universal Pictures|Playtone Productions|Vendome Pictures,2011,6,29081941.2777,True
Seth Rogen|Simon Pegg|Nick Frost|Jason Bateman|Kristen Wiig,Greg Mottola,104,Adventure|Comedy|Science Fiction,Universal Pictures|Big Talk Productions|Relativity Media|Working Title Films,2011,2,38775921.7037,True
Zoe Saldana|Cliff Curtis|Callum Blue|Michael Vartan|Lennie James,Olivier Megaton,108,Action|Thriller|Crime|Drama,TF1 Films Production|Canal+|CinÃ©CinÃ©ma|Grive Productions|EuropaCorp,2011,7,38775921.7037,True
Aaron Eckhart|RamÃ³n RodrÃ­guez|Will Rothhaar|Cory Hardrict|Jim Parrack,Jonathan Liebesman,116,Action|Science Fiction,Columbia Pictures|Original Film|Relativity Media,2011,3,67857862.9814,True
Emma Bell|Nicholas D'Agosto|Miles Fisher|Ellen Wroe|Jacqueline MacInnes Wood,Steven Quale,92,Horror|Mystery,New Line Cinema|Practical Pictures|Parallel Zide,2011,8,45561708.0018,True
Gerard Butler|Michelle Monaghan|Justin Michael Brandt|Richard Goteri|Peter Carey,Marc Forster,129,Action|Thriller|Crime,Mpower Pictures|Relativity Media|1984 Private Defense Contractors|Virgin Produced|Moonlighting Films,2011,9,29081941.2777,False
Adam Sandler|Katie Holmes|Al Pacino|Eugenio Derbez|Tim Meadows,Dennis Dugan,91,Comedy,Columbia Pictures|Happy Madison Productions|Broken Road Productions,2011,11,76582445.3647,True
Chris Evans|Anna Faris|Martin Freeman|Chris Pratt|Ari Graynor,Mark Mylod,106,Comedy|Romance,Regency Enterprises|Contrafilm|New Regency Pictures,2011,9,19387960.8518,True
Nicolas Cage|Ron Perlman|Ulrich Thomsen|Christopher Lee|Fernanda Dorogi,Dominic Sena,95,Adventure|Fantasy|Action,Atlas Entertainment|Relativity Media,2011,1,38775921.7037,True
Michelle Williams|Eddie Redmayne|Kenneth Branagh|Julia Ormond|Judi Dench,Simon Curtis,99,Drama,BBC Films|The Weinstein Company|UK Film Council|Lip Sync Post|Trademark Films,2011,10,6204147.47259,True
Matt Damon|Scarlett Johansson|Thomas Haden Church|Colin Ford|Maggie Elizabeth Jones,Cameron Crowe,124,Drama|Comedy|Family,Twentieth Century Fox Film Corporation|Dune Entertainment|Vinyl Films|LBI Entertainment,2011,12,48469902.1296,True
Emile Hirsch|Rachael Taylor|Olivia Thirlby|Joel Kinnaman|Max Minghella,Chris Gorak,89,Horror|Action|Thriller|Science Fiction,Summit Entertainment|Regency Enterprises|Bazelevs Production|The Jacobson Company|New Regency Pictures,2011,12,29081941.2777,True
Emma Stone|Viola Davis|Octavia Spencer|Bryce Dallas Howard|Jessica Chastain,Tate Taylor,146,Drama,DreamWorks SKG|1492 Pictures|Participant Productions|Imagenation Abu Dhabi FZ|Reliance Entertainment,2011,8,24234951.0648,True
Liam Neeson|Dermot Mulroney|Frank Grillo|Dallas Roberts|Joe Anderson,Joe Carnahan,117,Action|Drama|Thriller,Scott Free Productions|1984 Private Defense Contractors|LD Entertainment|Open Road Films|Inferno Distribution,2011,12,24234951.0648,True
Brad Pitt|Jonah Hill|Robin Wright|Philip Seymour Hoffman|Chris Pratt,Bennett Miller,133,Drama,Columbia Pictures|Scott Rudin Productions,2011,9,48469902.1296,True
John C. Reilly|Tilda Swinton|Ezra Miller|Siobhan Fallon|Jasper Newell,Lynne Ramsay,112,Drama|Thriller,BBC Films,2011,9,6785786.29814,False
Minka Kelly|Leighton Meester|Cam Gigandet|Aly Michalka|Matt Lanter,Christian E. Christiansen,91,Thriller|Drama|Horror,Vertigo Entertainment|Screen Gems,2011,2,15510368.6815,True
Antonio Banderas|Salma Hayek|Zach Galifianakis|Billy Bob Thornton|Amy Sedaris,Chris Miller,90,Action|Adventure|Animation|Family|Fantasy,DreamWorks,2011,10,126021745.537,True
Seth Rogen|Jay Chou|Christoph Waltz|Cameron Diaz|Edward Furlong,Michel Gondry,119,Action|Crime|Comedy,Original Film|Sony Pictures Entertainment|Reliance BIG Entertainment,2011,1,116327765.111,True
Kate Hudson|Ginnifer Goodwin|John Krasinski|Colin Egglesfield|Ashley Williams,Luke Greenfield,112,Comedy|Drama|Romance,Alcon Entertainment|Wild Ocean Films|2S Films,2011,5,33928931.4907,True
Jason Momoa|Rose McGowan|Rachel Nichols|Ron Perlman|Stephen Lang,Marcus Nispel,113,Adventure|Fantasy|Action,Dark Horse Entertainment|Nu Image Films|Paradox Entertainment|Nimar Studios|Millennium Films,2011,8,87245823.8332,False
Rowan Atkinson|Dominic West|Gillian Anderson|Rosamund Pike|Roger Barclay,Oliver Parker,101,Crime|Adventure|Action|Comedy|Thriller,Universal Pictures,2011,9,43622911.9166,True
Matt Damon|Gwyneth Paltrow|Kate Winslet|Jude Law|Marion Cotillard,Steven Soderbergh,106,Drama|Thriller|Science Fiction,Double Feature Films|Regency Enterprises|Warner Bros.|Participant Media|Imagenation Abu Dhabi FZ,2011,9,58163882.5555,True
Owen Wilson|Steve Martin|Jack Black|Rashida Jones|Jim Parsons,David Frankel,100,Comedy,Ingenious Media|Dune Entertainment|Fox 2000 Pictures|Deuce Three Productions|Sunswept Entertainment,2011,10,39745319.7463,False
Alex Pettyfer|Vanessa Hudgens|Mary-Kate Olsen|Lisa Gay Hamilton|Neil Patrick Harris,Daniel Barnz,86,Drama|Fantasy|Romance,CBS Films|Mel's Cite du Cinema|Storefront Films,2011,1,16479766.7241,True
Neil Patrick Harris|John Cho|Elias Koteas|Danneel Ackles|Kal Penn,Todd Strauss-Schulson,108,Comedy,New Line Cinema|Mandate Pictures,2011,11,18418562.8092,True
Mary Elizabeth Winstead|Joel Edgerton|Ulrich Thomsen|Eric Christian Olsen|Adewale Akinnuoye-Agbaje,Matthijs van Heijningen Jr.,103,Horror|Science Fiction|Mystery|Thriller,Universal Pictures|Strike Entertainment|Morgan Creek Productions,2011,10,33928931.4907,False
Ben Stiller|Eddie Murphy|Casey Affleck|Alan Alda|Matthew Broderick,Brett Ratner,104,Action|Comedy,Universal Pictures|Image Entertainment|Relativity Media|Rat Entertainment,2011,11,72704853.1944,True
Robert De Niro|Katherine Heigl|Ashton Kutcher|Carla Gugino|Lea Michele,Garry Marshall,118,Comedy|Romance,New Line Cinema,2011,12,54286290.3851,True
Danny McBride|James Franco|Natalie Portman|Zooey Deschanel|Justin Theroux,David Gordon Green,102,Adventure|Fantasy|Action|Comedy,Universal Pictures|Stuber Productions,2011,4,48372962.3253,False
Ryan Robbins|Warren Christie|Lloyd Owen|Andrew Airlie|Michael Kopsa,Gonzalo LÃ³pez-Gallego,86,Horror|Thriller|Science Fiction,Bazelevs Production|Dimension Films|Bekmambetov Projects Ltd.,2011,7,4846990.21296,True
Anton Yelchin|Colin Farrell|Toni Collette|Christopher Mintz-Plasse|David Tennant,Craig Gillespie,106,Horror|Comedy,Touchstone Pictures,2011,8,16479766.7241,True
Elijah Wood|Robin Williams|Pink|E.G. Daily|Johnny A. Sanchez,George Miller,100,Music|Family|Animation|Comedy,Village Roadshow Pictures|Warner Bros.|Dr D Studios|Kennedy Miller Mitchell,2011,11,126021745.537,True
David Arquette|Neve Campbell|Courteney Cox|Emma Roberts|Hayden Panettiere,Wes Craven,111,Horror|Mystery,Dimension Films,2011,4,38775921.7037,True
Seth Green|Joan Cusack|Dan Fogler|Breckin Meyer|Elisabeth Harnois,Simon Wells,88,Adventure|Animation|Family,Walt Disney Animation Studios,2011,3,145409706.389,False
Nick Frost|Jodie Whittaker|John Boyega|Luke Treadaway|Flaminia Cinque,Joe Cornish,88,Action|Comedy|Science Fiction,UK Film Council|Studio Canal|Film4,2011,5,13911376.6615,False
Zachary Gordon|Devon Bostick|Rachael Harris|Robert Capron|Steve Zahn,David Bowers,99,Family|Comedy,Fox 2000 Pictures|Color Force,2011,3,20357358.8944,True
Thomas Horn|Tom Hanks|Sandra Bullock|Max von Sydow|John Goodman,Stephen Daldry,129,Drama,Paramount Pictures|Scott Rudin Productions|Warner Bros.,2011,12,38775921.7037,True
Jason Lee|David Cross|Jenny Slate|Andy Buckley|Justin Long,Mike Mitchell,87,Comedy|Fantasy|Family|Music|Animation,Fox 2000 Pictures,2011,12,72704853.1944,True
Jodie Foster|Mel Gibson|Jennifer Lawrence|Anton Yelchin|Zachary Booth,Jodie Foster,91,Drama,Summit Entertainment|Participant Media|Imagenation Abu Dhabi FZ|Anonymous Content,2011,2,20357358.8944,False
James Marsden|Kate Bosworth|Alexander SkarsgÃ¥rd|Laz Alonso|Dominic Purcell,Rod Lurie,110,Thriller,Battleplan Productions,2011,9,24234951.0648,False
Bill Nighy|Maggie Smith|Tom Wilkinson|Judi Dench|Dev Patel,John Madden,124,Drama|Comedy,Participant Media|Imagenation Abu Dhabi FZ,2011,11,9693980.42591,True
Neil Patrick Harris|Jayma Mays|Anton Yelchin|Hank Azaria|Alan Cumming,Raja Gosnell,103,Animation|Family|Adventure|Comedy|Fantasy,Columbia Pictures|Sony Pictures Animation|Kerner Entertainment Company,2011,7,106633784.685,True
Saoirse Ronan|Eric Bana|Vicky Krieps|Cate Blanchett|Tom Hollander,Joe Wright,111,Action|Thriller|Adventure,Focus Features|Neunte Babelsberg Film|Focus Features|Holleran Company|Sechzehnte Babelsberg Film,2011,4,29081941.2777,True
Rebel Wilson|Xavier Samuel|Olivia Newton-John|Kris Marshall|Kevin Bishop,Stephan Elliott,97,Comedy,Parabolic Pictures|Stable Way Entertainment|Quickfire Films|Screen Australia|Screen NSW,2011,10,12086831.8909,True
Patrick Dempsey|Ashley Judd|Tim Blake Nelson|Mekhi Phifer|Matt Ryan,Rob Minkoff,87,Mystery|Comedy|Crime,Rising Star|The Safran Company|Foresight Unlimited|Shifting Gears Entertainment,2011,8,4846990.21296,False
Kevin Spacey|Paul Bettany|Jeremy Irons|Zachary Quinto|Ashley Williams,J.C. Chandor,107,Thriller|Drama,Benaroya Pictures|Before the Door Pictures|Washington Square Films|Untitled Entertainment,2011,9,3392893.14907,True
James McAvoy|Michael Caine|Maggie Smith|Julie Walters|Patrick Stewart,Kelly Asbury,84,Animation|Family,Starz Animation|Touchstone Pictures,2011,1,34898329.5333,True
Jason Statham|Paddy Considine|Aidan Gillen|Zawe Ashton|Luke Evans,Elliott Lester,97,Crime|Action|Thriller,Davis-Films|Current Entertainment|Lionsgate|Lipsync Productions|Blitz Films,2011,5,15292203.7132,False
George Clooney|Shailene Woodley|Amara Miller|Nick Krause|Robert Forster,Alexander Payne,115,Comedy|Drama,Fox Searchlight Pictures|Dune Entertainment|Ad Hominem Enterprises,2011,9,19387960.8518,True
Russell Brand|James Marsden|Kaley Cuoco|Hank Azaria|Elizabeth Perkins,Tim Hill,95,Animation,Universal Pictures|Illumination Entertainment,2011,3,61072076.6833,True
Johnny Depp|Amber Heard|Aaron Eckhart|Michael Rispoli|Giovanni Ribisi,Bruce Robinson,120,Drama|Comedy,FilmEngine|Infinitum Nihil|GK Films,2011,10,43622911.9166,False
Brendan Gleeson|Don Cheadle|Liam Cunningham|Mark Strong|Katarina Cas,John Michael McDonagh,96,Action|Comedy|Thriller|Crime,UK Film Council|Crescendo Productions|Element Pictures|Irish Film Board|Prescience,2011,7,5816388.25555,True
Paul Rudd|Elizabeth Banks|Zooey Deschanel|Emily Mortimer|Adam Scott,Jesse Peretz,90,Comedy|Drama,The Weinstein Company,2011,8,9693980.42591,True
Patrick Wilson|Liv Tyler|Charlie Hunnam|Terrence Howard|Jaqueline Fleming,Matthew Chapman,101,Drama|Thriller,Rising Star|Foresight Unlimited|VIP Media Group|Michael Mailer Films|Ledge Productions,2011,5,9693980.42591,False
Kenny Wormald|Julianne Hough|Dennis Quaid|Andie MacDowell|Miles Teller,Craig Brewer,113,Drama|Music|Romance,Spyglass Entertainment|MTV Films,2011,10,23265553.0222,True
Nicolas Cage|Nicole Kidman|Liana Liberato|Cam Gigandet|Jordana Spiro,Joel Schumacher,91,Crime|Drama|Thriller,Nu Image Films|Winkler Films|Millennium Films,2011,10,34898329.5333,False
Kate Winslet|Jodie Foster|Christoph Waltz|John C. Reilly|Elvis Polanski,Roman Polanski,80,Comedy|Drama,Wild Bunch|Zanagar Films|Canal+|Constantin Film Produktion|CinÃ©CinÃ©ma,2011,9,24234951.0648,True
Brit Marling|William Mapother|Jordan Baker|Flint Beverage|Robin Lord Taylor,Mike Cahill,92,Drama|Science Fiction,Artists Public Domain,2011,7,96939.8042591,True
Ryan Gosling|George Clooney|Philip Seymour Hoffman|Paul Giamatti|Marisa Tomei,George Clooney,101,Drama,Appian Way|Crystal City Entertainment|Cross Creek Pictures|Exclusive Media Group|Smokehouse Pictures,2011,9,12117475.5324,True
Shia LaBeouf|John Malkovich|Ken Jeong|Frances McDormand|Josh Duhamel,Michael Bay,154,Action|Science Fiction|Adventure,Paramount Pictures|Di Bonaventura Pictures|Hasbro|Indochina Productions,2011,6,189032618.305,True
Katie Featherston|Sprague Grayden|Lauren Bittner|Christopher Nicholas Smith|Chloe Csengery,Henry Joost|Ariel Schulman,83,Horror,Paramount Pictures|Blumhouse Productions|Room 101|Solana Films,2011,10,4846990.21296,True
Kevin James|Vince Vaughn|Winona Ryder|Jennifer Connelly|Queen Latifah,Ron Howard,111,Comedy|Drama,Imagine Entertainment|Universal Pictures|Spyglass Entertainment|Wild West Picture Show Productions,2011,1,67857862.9814,False
Topher Grace|Anna Faris|Dan Fogler|Teresa Palmer|Michelle Trachtenberg,Michael Dowse,97,Comedy|Drama|Romance,Imagine Entertainment|Rogue Pictures|Relativity Media|Internationale Filmproduktion Blackbird Dritte,2011,3,18418562.8092,False
Melissa George|Ed Speleers|Eamonn Walker|Alec Newman|Karel Roden,Julian Gilbey,99,Adventure|Action|Thriller|Crime,Carnaby International|Molinare Studios|Eigerwand Pictures,2011,4,3877592.17037,True
Amy Adams|Jason Segel|Emily Blunt|John Krasinski|Zach Galifianakis,James Bobin,103,Comedy|Family|Music,Walt Disney Pictures,2011,11,43622911.9166,True
Jessica Alba|Mason Cook|Rowan Blanchard|Joel McHale|Jeremy Piven,Robert Rodriguez,89,Family|Comedy|Action,Dimension Films,2011,8,26173747.15,True
Clive Owen|Catherine Keener|Liana Liberato|Jason Clarke|Viola Davis,David Schwimmer,104,Crime|Drama|Thriller,Nu Image Films|Millennium Films|Dark Harbor Stories,2011,4,9209281.40462,False
Nicolas Cage|Guy Pearce|January Jones|Jennifer Carpenter|Harold Perrineau,Roger Donaldson,105,Action|Drama|Thriller,Endgame Entertainment|Maguire Entertainment|Ram Bergman Productions|Aura Film Partnership|Fierce Entertainment,2011,9,16479766.7241,False
Russell Brand|Helen Mirren|Greta Gerwig|Jennifer Garner|Geraldine James,Jason Winer,110,Comedy|Romance,Warner Bros.,2011,4,38775921.7037,True
Channing Tatum|Mark Strong|Jamie Bell|Donald Sutherland|Denis O'Hare,Kevin Macdonald,114,Adventure|Drama,Toledo Productions|Film4|Focus Features|Prime Focus|Twins Financing,2011,2,24234951.0648,True
